Company_name,booth,address,city_zip,categories
ezeGlide Rollout Shelving and Drawers,1205,24  Oakmont Ct.,"Clayton, NC 27527","Closet, Organization, Storage, Moving"
"East Coast Granite and Marble, LLC",819,9021 Glenwood Ave.,"Raleigh, NC 27617","Kitchen, Bath"
Edward Jones,507,3710 University Drive,"Durham , NC 27707","Financial, Insurance, Mortgage, Real Estate, Home Inspections"
Einstein Desk Co.,412,,,New Exhibitors
"Designhouse Kitchen and Bath, LLC",406,200 Powell Dr.,"Raleigh, NC  27606","Kitchen, Bath"
Easy Living Products,1012,3600 Dallas Hwy SW,"Marietta, GA 30064","Appliances, Water Systems, Household Products"
Cabinet Cures of the Triangle,705,2013 New Hope Church Road,"Raleigh, NC 27604","Kitchen, Bath"
Carolina Roofing & Vinyl Siding,228,,,"Home Exteriors, Gutters, Siding, Roofing"
Cutco Cutlery,736,322 Houghton Ave.,"Olean, NY 14760","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
Budget Blinds,816,Raleigh / Durham / Cary / Chapel Hill,,"Windows, Window Coverings, Screens, Doors"
Carolina Outdoor Lighting Professionals Inc.,97,5313 Lake Wheeler Road,"Raleigh, NC 27603",Lighting: Indoor and Outdoor
Brytons Bath,200,The Triangle:,"Cary, NC 27513","Kitchen, Bath"
Bowman Mechanical Services Inc.,208,145 Technical Ct.,"Garner, NC 27529","Heating, Air Conditioning, Ventilation"
Brentwood Flooring America,621,,,"Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
BK Roofing & Seamless Gutters,717,4501 Newbern Ave.,"Raliegh , NC 27810","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Borgert Family Chiropractic,109,320 N Salem Street,"Apex, NC 27502","Recreation, Pool and Spa, Health and Wellness, Fitness"
"Borsos Marketing, LLC",924,,,New Exhibitors
Blue Raven Solar,213,9201 Leesville Rd.,"Raleigh, NC 27613",New Exhibitors
Be Aligned Now,929,7920 Skyland Ridge Parkway,"Raleigh, NC 27617","Recreation, Pool and Spa, Health and Wellness, Fitness"
Better Garden Tools,"1424, 1428",,,"Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
Backyard Etc.,1101,PO Box 163,"Semora, NC 27343","Garden, Decks, Patios, Landscape, Outdoors"
Artisan Quality Roofing,1426,11010 Lake Grove Blvd.,"Morrisville, NC 27560","Home Exteriors, Gutters, Siding, Roofing"
Amys Dips,M17,,"High Point, NC 27282","Food, Beverage"
Amish Originals,928,209 North Main Street,"Farmville, VA 23901","Home Décor, Art, Interior Design, Furnishings"
Anderson Painting,1435,PO Box 37161,"Raleigh, NC 27627","Construction, Renovation, Remodeling, Flooring, Painting, Contractors, Foundations, Insulation, Engineer"
Affordable Closets,514,2208 Associate Drive,"Raleigh, NC 27603","Closet, Organization, Storage, Moving"
All American Gutter Protection,404,,"Raleigh, NC 27560","Home Exteriors, Gutters, Siding, Roofing"
"A+ Tree and Crane Services, Inc.",609,PO Box 10486,"Raleigh, NC 27605","Garden, Decks, Patios, Landscape, Outdoors"
Ameritech Construction,437,3725 National Drive,"Raleigh, NC 27612","Windows, Window Coverings, Screens, Doors"
A Kitchen Must,513,,"Durham, NC 27712","Gifts and Gadgets (Cash and Carry, Direct Sell Products)"
